,出发地 , 目的地,价格 ,节省,路线名,酒店,房间,去程航司,去程方式,去程时间,回程航司,回程方式 ,回程时间
26,济南,北京,1707,402,济南-北京3天2晚 | 入住北京雷特思酒店 + 山东航空往返机票,北京雷特思酒店 舒适型 3.7分/5分,特惠双床房（无窗）(特... 双床 双早 1间2晚,山东航空 SC1151,直飞,11:00-12:05,山东航空 SC1152,直飞,19:20-20:25
27,厦门,珠海,1638,476,厦门-珠海3天2晚 | 入住珠海铭瀚假日酒店 + 山东航空往返机票,珠海铭瀚假日酒店 高档型 4.2分/5分,精品大床房 大床 单早 1间2晚,山东航空 SC8817,直飞,19:25-20:55,山东航空 SC8818,直飞,20:55-22:15
28,大连,长沙,1532,422,大连-长沙3天2晚 | 入住长沙三六零家庭旅馆 + 奥凯航空往返机票,长沙三六零家庭旅馆 舒适型 3.6分/5分,普通间-不含早（预付） 大床 不含早 1间2晚,奥凯航空 BK2842,经停,13:00-17:30,奥凯航空 BK2841,经停,07:25-12:00
29,成都,西安,1623,514,成都-西安3天2晚 | 入住西安秦都酒店 + 成都航空/华夏航空往返机票,西安秦都酒店 4.0分/5分,标准间(一楼特惠)(双... 双床 不含早 1间2晚,成都航空 EU2741,直飞,06:40-08:10,华夏航空 G56525,直飞,22:50-00:30
30,深圳,九寨沟,1592,456,深圳-九寨沟3天2晚 | 入住九寨沟满江红度假酒店 + 成都航空往返机票,九寨沟满江红度假酒店 舒适型 3.8分/5分,普通标准间(双床) 双床 不含早 1间2晚,成都航空 EU2202,经停,20:20-01:05,成都航空 EU2201,经停,15:05-19:00
31,天津,西宁,,396,天津-西宁3天2晚 | 入住西宁运通商务宾馆 + 中国国航往返机票,西宁运通商务宾馆 舒适型 4.4分/5分,标准间(双床)(内宾) 双床 不含早 1间2晚,中国国航 CA1241,直飞,15:25-17:55,中国国航 CA8280,经停,18:15-22:05
32,西安,张家界,1022,334,西安-张家界3天2晚 | 入住张家界百丈峡酒店 + 首都航空往返机票,张家界百丈峡酒店 高档型 3.6分/5分,双床房 双床 不含早 1间2晚,首都航空 JD5107,直飞,20:20-21:45,首都航空 JD5108,直飞,22:45-00:15
33,大连,西宁,2397,510,大连-西宁3天2晚 | 入住亚朵酒店西宁夏都店 + 华夏航空往返机票,亚朵酒店西宁夏都店 舒适型 4.7分/5分,行政大床房 大床 不含早 1间2晚,华夏航空 G52647,经停,14:50-19:20,华夏航空 G52648,经停,20:00-00:05
34,南京,成都,2491,626,南京-成都3天2晚 | 入住成都世外桃源酒店 + 东方航空/西藏航空往返机票,成都世外桃源酒店 豪华型 4.8分/5分,豪华标间(夜游锦里古街... 双床 双早 1间2晚,东方航空 MU2880,直飞,21:55-00:35,西藏航空 TV9839,直飞,06:30-08:55
35,重庆,大理,1582,472,重庆-大理3天2晚 | 入住大理古城三人行青年旅舍 + 南方航空往返机票,大理古城三人行青年旅舍 经济型 4.6分/5分,大床房[无早] 大床 不含早 1间2晚,南方航空 CZ8147,直飞,06:30-08:20,南方航空 CZ8148,直飞,13:30-15:05
36,哈尔滨,三亚,2248,454,哈尔滨-三亚3天2晚 | 入住三亚湾皇冠假日度假酒店 + 首都航空/福州往返机票,三亚湾皇冠假日度假酒店 4.6分/5分,皇冠豪华房（美轮美奂） 大/双床 双早 1间2晚,首都航空 JD5532,经停,18:35-01:00,福州 FU6656,经停,16:05-22:35
37,沈阳,三亚,4040,998,沈阳-三亚3天2晚 | 入住三亚文华东方酒店 + 深圳航空往返机票,三亚文华东方酒店 豪华型 4.7分/5分,观海轩（连住2晚起订）... 大/双床 双早 1间2晚,深圳航空 ZH9726,经停,16:10-22:20,深圳航空 ZH9725,经停,09:55-16:00
38,深圳,沈阳,2261,560,深圳-沈阳3天2晚 | 入住沈阳珀丽酒店 + 深圳航空/厦门航空往返机票,沈阳珀丽酒店 4.3分/5分,高级双床房(特别促销)... 双床 不含早 1间2晚,深圳航空 ZH9609,经停,17:10-22:25,厦门航空 MF8070,经停,15:25-21:20
39,青岛,丽江,2375,558,青岛-丽江3天2晚 | 入住丽江御居宾馆 + 青岛航往返机票,丽江御居宾馆 舒适型 0.0分/5分,豪华标准间(双床) 双床 不含早 1间2晚,青岛航 QW9834,经停,06:35-12:00,青岛航 QW9833,经停,12:45-18:25
40,深圳,武汉,1673,502,深圳-武汉3天2晚 | 入住武汉纽宾凯新宜国际酒店 + 南方航空/东方航空往返机票,武汉纽宾凯新宜国际酒店 3.6分/5分,高级双床间(无窗) 双床 不含早 1间2晚,南方航空 CZ6304,直飞,20:15-22:05,东方航空 MU2477,直飞,08:00-09:45
41,南京,青岛,,326,南京-青岛3天2晚 | 入住宜必思酒店青岛城阳正阳路店 + 青岛航/首都航空往返...,宜必思酒店青岛城阳正阳路店 4.4分/5分,大床房(酒店★力推)(... 大床 不含早 1间2晚,青岛航 QW9860,直飞,22:55-00:10,首都航空 JD5298,直飞,10:40-12:00
42,南京,九寨沟,2007,562,南京-九寨沟3天2晚 | 入住阿坝古尔沟醉佳温泉酒店 + 东方航空/西藏航空往返...,阿坝古尔沟醉佳温泉酒店 舒适型 3.2分/5分,豪华标间[无早] 其他 不含早 1间2晚,东方航空 MU2880,直飞,21:55-00:35,西藏航空 TV9839,直飞,06:30-08:55
43,深圳,厦门,1293,364,深圳-厦门3天2晚 | 入住厦门湾仔大酒店 + 海南航空往返机票,厦门湾仔大酒店 舒适型 3.7分/5分,精品大床房-即时确认(... 大床 不含早 1间2晚,海南航空 HU7065,直飞,07:30-08:40,海南航空 HU7066,直飞,15:30-16:40
44,青岛,北京,1046,328,青岛-北京3天2晚 | 入住睿柏·云酒店北京新国展店 + 山东航空往返机票,睿柏·云酒店北京新国展店 舒适型 3.7分/5分,特惠双床房(无窗)(内... 双床 不含早 1间2晚,山东航空 SC4653,直飞,12:45-14:15,山东航空 SC4650,直飞,23:05-00:30
45,上海,九寨沟,1767,496,上海-九寨沟3天2晚 | 入住九寨沟老城故事青年客栈 + 成都航空往返机票,九寨沟老城故事青年客栈 经济型 4.2分/5分,特价双人间 双床 不含早 1间2晚,成都航空 EU6678,直飞,21:55-01:15,成都航空 EU6677,直飞,17:45-20:35
46,杭州,三亚,2224,504,杭州-三亚3天2晚 | 入住三亚银泰阳光度假酒店 + 南方航空/海南航空往返机票,三亚银泰阳光度假酒店 4.5分/5分,标准大床房-大床，含早餐 大床 双早 1间2晚,南方航空 CZ6630,直飞,20:45-23:40,海南航空 HU7284,直飞,20:45-23:35
47,济南,北京,1678,402,济南-北京3天2晚 | 入住山水时尚酒店北京首都机场新国展店 + 山东航空往返机票,山水时尚酒店北京首都机场新国展店 舒适型 4.2分/5分,标准双人房(双床) 双床 不含早 1间2晚,山东航空 SC1151,直飞,11:00-12:05,山东航空 SC1152,直飞,19:20-20:25
48,沈阳,三亚,2676,778,沈阳-三亚3天2晚 | 入住三亚京韵海景大酒店 + 深圳航空往返机票,三亚京韵海景大酒店 高档型 4.2分/5分,雅致园景大床房-限内宾 大床 不含早 1间2晚,深圳航空 ZH9726,经停,16:10-22:20,深圳航空 ZH9725,经停,09:55-16:00
49,武汉,哈尔滨,2540,612,武汉-哈尔滨3天2晚 | 入住哈尔滨水逸城市酒店 + 南方航空往返机票,哈尔滨水逸城市酒店 舒适型 4.6分/5分,大床房-【预付特惠】独... 大床 双早 1间2晚,南方航空 CZ3631,经停,07:45-12:50,南方航空 CZ6263,经停,08:55-14:00
50,成都,武汉,1462,416,成都-武汉3天2晚 | 入住武汉卡尔顿酒店 + 南方航空/东方航空往返机票,武汉卡尔顿酒店 舒适型 3.3分/5分,标准间(携手游江湖)(... 双床 不含早 1间2晚,南方航空 CZ3442,直飞,22:05-00:05,东方航空 MU2653,直飞,20:40-22:40
51,青岛,长沙,,454,青岛-长沙3天2晚 | 入住长沙天洋大酒店 + 青岛航/幸福航空往返机票,长沙天洋大酒店 3.9分/5分,标准大床房[无早] 大床 不含早 1间2晚,青岛航 QW9775,直飞,06:20-08:40,幸福航空 JR2769,直飞,06:40-09:05
52,西安,长沙,1149,338,西安-长沙3天2晚 | 入住长沙摩天商务酒店 + 奥凯航空往返机票,长沙摩天商务酒店 舒适型 3.8分/5分,豪华双人间(双床) 双床 不含早 1间2晚,奥凯航空 BK2864,直飞,06:30-08:25,奥凯航空 BK2863,直飞,23:00-00:45
53,厦门,重庆,1429,382,厦门-重庆3天2晚 | 入住重庆锦都商务酒店江北机场店 + 西藏航空/西部航空往...,重庆锦都商务酒店江北机场店 舒适型 4.4分/5分,精品双床房[去哪儿网直... 双床 双早 1间2晚,西藏航空 TV9870,直飞,22:10-00:45,西部航空 PN6291,直飞,06:20-08:45
54,北京,杭州,1436,376,北京-杭州3天2晚 | 入住杭州世贸君亭广场酒店 + 海南航空/南方航空往返机票,杭州世贸君亭广场酒店 高档型 4.4分/5分,特惠大床房(App专享) 大床 不含早 1间2晚,海南航空 HU7677,直飞,22:25-00:45,南方航空 CZ6164,直飞,22:15-00:35
55,厦门,珠海,1612,486,厦门-珠海3天2晚 | 入住珠海豪庭商务酒店 + 山东航空往返机票,珠海豪庭商务酒店 3.5分/5分,"豪华双人房-无早, 其他 不含早 1间2晚",山东航空 SC8817,直飞,19:25-20:55,山东航空 SC8818,直飞,20:55-22:15
56,天津,西双版纳,3011,822,天津-西双版纳3天2晚 | 入住西双版纳豆豆家庭旅馆 + 东方航空往返机票,西双版纳豆豆家庭旅馆 经济型 4.7分/5分,三楼阳台大床房 大床 不含早 1间2晚,东方航空 MU5748,经停,14:15-20:00,东方航空 MU5747,经停,07:30-12:55
57,上海,乌鲁木齐,3124,696,上海-乌鲁木齐3天2晚 | 入住乌鲁木齐东华大酒店 + 吉祥航空/春秋航空往返机票,乌鲁木齐东华大酒店 舒适型 3.5分/5分,商务标准间(无窗)(双... 双床 双早 1间2晚,吉祥航空 HO1255,直飞,10:25-15:50,春秋航空 9C8846,经停,16:10-22:50
58,上海,沈阳,1506,382,上海-沈阳3天2晚 | 入住沈阳金杯汽车大厦 + 深圳航空/春秋航空往返机票,沈阳金杯汽车大厦 4.4分/5分,豪华大床(预付) 大床 双早 1间2晚,深圳航空 ZH9722,直飞,21:10-23:40,春秋航空 9C8850,直飞,16:15-18:30
59,成都,鄂尔多斯,1794,476,成都-鄂尔多斯3天2晚 | 入住鄂尔多斯伊金霍洛旗鄂金大酒店 + 四川航空/联合...,鄂尔多斯伊金霍洛旗鄂金大酒店 舒适型 0.0分/5分,商务标间(双床) 双床 不含早 1间2晚,四川航空 3U8969,直飞,12:55-15:05,联合航空 KN2307,直飞,17:10-19:20
60,武汉,承德,2120,602,武汉-承德3天2晚 | 入住承德盛华大酒店 + 南方航空/东方航空往返机票,承德盛华大酒店 4.3分/5分,豪华标准间(双床) 双床 双早 1间2晚,南方航空 CZ6605,直飞,22:25-00:20,东方航空 MU2454,直飞,22:35-00:55
61,杭州,大连,1572,382,杭州-大连3天2晚 | 入住大连通宝宾馆 + 长龙航空/南方航空往返机票,大连通宝宾馆 高档型 4.3分/5分,商务双标间（无窗）(双... 双床 不含早 1间2晚,长龙航空 GJ8765,直飞,18:05-20:10,南方航空 CZ6983,直飞,07:00-09:05
62,上海,黄山,1220,,上海-黄山3天2晚 | 入住雷汀曼酒店黄山店 + 东方航空/上海航空往返机票,雷汀曼酒店黄山店 舒适型 4.3分/5分,舒适标准间(预付)(双... 双床 不含早 1间2晚,东方航空 MU9265,直飞,12:40-13:55,上海航空 FM9266,直飞,22:35-23:40
63,济南,长沙,1116,356,济南-长沙3天2晚 | 入住长沙品致酒店 + 山东航空往返机票,长沙品致酒店 舒适型 4.1分/5分,豪华双人房(双床) 双床 不含早 1间2晚,山东航空 SC1185,直飞,18:40-20:50,山东航空 SC1186,直飞,10:20-12:15
64,宁波,九寨沟,1997,566,宁波-九寨沟3天2晚 | 入住茂县兴隆精选酒店 + 成都航空/四川航空往返机票,茂县兴隆精选酒店 4.8分/5分,临街大床房[双早] 大床 双早 1间2晚,成都航空 EU2730,经停,19:45-00:45,四川航空 3U8927,经停,07:55-12:15
65,上海,哈尔滨,1301,348,上海-哈尔滨3天2晚 | 入住哈尔滨透笼商务酒店中央大街店 + 春秋航空/吉祥航...,哈尔滨透笼商务酒店中央大街店 舒适型 4.3分/5分,"特惠标准间-无早,(无... 双床 不含早 1间2晚",春秋航空 9C8869,直飞,15:30-18:35,吉祥航空 HO1268,直飞,22:15-01:15
66,成都,厦门,2642,616,成都-厦门3天2晚 | 入住厦门帝元维多利亚大酒店 + 四川航空/山东航空往返机票,厦门帝元维多利亚大酒店 豪华型 4.5分/5分,雅致海景房[单早] 大/双床 单早 1间2晚,四川航空 3U8869,直飞,08:00-10:40,山东航空 SC4763,经停,06:15-10:15
67,深圳,九寨沟,1979,472,深圳-九寨沟3天2晚 | 入住九寨沟北纬33度温泉度假酒店 + 成都航空往返机票,九寨沟北纬33度温泉度假酒店 舒适型 0.0分/5分,商务标间(含双早（预付... 双床 不含早 1间2晚,成都航空 EU2202,经停,20:20-01:05,成都航空 EU2201,经停,15:05-19:00
68,南京,三亚,2283,580,南京-三亚3天2晚 | 入住三亚半山半岛安纳塔拉度假酒店 + 首都航空往返机票,三亚半山半岛安纳塔拉度假酒店 豪华型 4.4分/5分,高级景观房(双人入住)... 大床 双早 1间2晚,首都航空 JD5126,直飞,11:05-14:10,首都航空 JD5125,直飞,06:20-09:30
69,长春,厦门,2365,604,长春-厦门3天2晚 | 入住厦门凯怡酒店 + 山东航空往返机票,厦门凯怡酒店 3.7分/5分,商务双床房(双床)(双... 双床 双早 1间2晚,山东航空 SC4848,经停,18:30-23:30,山东航空 SC4955,经停,06:30-11:55
70,广州,西宁,3586,988,广州-西宁3天2晚 | 入住星程酒店西宁大十字店 + 南方航空往返机票,星程酒店西宁大十字店 舒适型 4.3分/5分,双床房(连住14晚及以... 双床 不含早 1间2晚,南方航空 CZ3249,直飞,06:30-10:10,南方航空 CZ3130,经停,13:55-18:40
71,天津,杭州,1259,364,天津-杭州3天2晚 | 入住千岛湖利民酒店 + 奥凯航空/天津航空往返机票,千岛湖利民酒店 舒适型 3.9分/5分,特惠大床房 大床 不含早 1间2晚,奥凯航空 BK2825,直飞,06:50-08:50,天津航空 GS7852,直飞,20:50-23:05
72,武汉,大理,1906,516,武汉-大理3天2晚 | 入住Q居大理古城向阳花休闲民居 + 东方航空往返机票,Q居大理古城向阳花休闲民居 经济型 4.8分/5分,温馨大床间-限内宾 大床 不含早 1间2晚,东方航空 MU9736,直飞,14:35-17:20,东方航空 MU9735,直飞,11:05-13:30
73,深圳,呼和浩特,,606,深圳-呼和浩特3天2晚 | 入住呼和浩特凯基国际商务酒店 + 东方航空/深圳航空...,呼和浩特凯基国际商务酒店 高档型 4.4分/5分,豪华双人间 双床 双床 不含早 1间2晚,东方航空 MU2877,经停,11:05-17:00,深圳航空 ZH9128,经停,13:55-18:40
74,上海,三亚,1445,406,上海-三亚3天2晚 | 入住三亚景利莱度假酒店 + 上海航空/扬子江航空往返机票,三亚景利莱度假酒店 高档型 4.0分/5分,别墅雅致房(预付促销)... 双床 双早 1间2晚,上海航空 FM9517,经停,10:25-15:25,扬子江航空 Y87502,直飞,19:50-23:10
75,厦门,乌鲁木齐,3119,752,厦门-乌鲁木齐3天2晚 | 入住乌鲁木齐信达海德酒店 + 山东航空往返机票,乌鲁木齐信达海德酒店 4.1分/5分,标准双人间(丝路之旅)... 双床 不含早 1间2晚,山东航空 SC8811,经停,16:15-00:10,山东航空 SC8812,经停,07:40-15:00
76,青岛,厦门,2204,560,青岛-厦门3天2晚 | 入住厦门青年阳光连锁酒店厦鼓码头湖里店 + 山东航空往返...,厦门青年阳光连锁酒店厦鼓码头湖里店 舒适型 4.5分/5分,精致大床房(内宾)(预... 大床 不含早 1间2晚,山东航空 SC4968,经停,17:50-22:15,山东航空 SC4967,经停,07:05-10:45
77,天津,九寨沟,1938,518,天津-九寨沟3天2晚 | 入住五悦景区连锁酒店阿坝九寨沟店 + 天津航空往返机票,五悦景区连锁酒店阿坝九寨沟店 舒适型 4.5分/5分,豪华标间(双床) 双床 双早 1间2晚,天津航空 GS7887,直飞,19:10-22:05,天津航空 GS7888,直飞,23:15-01:50
78,上海,沈阳,1380,394,上海-沈阳3天2晚 | 入住沈阳万方酒店 + 深圳航空/春秋航空往返机票,沈阳万方酒店 舒适型 4.6分/5分,大床房 大床 大床 不含早 1间2晚,深圳航空 ZH9722,直飞,21:10-23:40,春秋航空 9C8850,直飞,16:15-18:30
79,上海,西安,1259,398,上海-西安3天2晚 | 入住西安塞尔德青年旅舍钟鼓楼回民街店 + 东方航空/南方...,西安塞尔德青年旅舍钟鼓楼回民街店 经济型 4.9分/5分,中国风榻榻米房-不含早 大床 不含早 1间2晚,东方航空 MU2160,直飞,15:30-18:15,南方航空 CZ3336,直飞,11:05-13:25
80,杭州,西安,1153,324,杭州-西安3天2晚 | 入住西安云龙大酒店 + 东方航空/长龙航空往返机票,西安云龙大酒店 舒适型 4.1分/5分,普通标准房[双早](双... 双床 双早 1间2晚,东方航空 MU2224,直飞,19:35-22:00,长龙航空 GJ8860,经停,21:50-01:15
81,杭州,重庆,1644,484,杭州-重庆3天2晚 | 入住重庆摩围山欣宜度假村 + 四川航空/海南航空往返机票,重庆摩围山欣宜度假村 高档型 4.2分/5分,野鹅房(大床) 大床 不含早 1间2晚,四川航空 3U8936,直飞,22:15-00:40,海南航空 HU7388,直飞,23:20-01:40
82,北京,丽江,1917,504,北京-丽江3天2晚 | 入住尚客优连锁酒店丽江古城南门店 + 首都航空往返机票,尚客优连锁酒店丽江古城南门店 经济型 4.5分/5分,标准间（带空调）-房间... 双床 不含早 1间2晚,首都航空 JD5215,直飞,21:30-01:05,首都航空 JD5182,直飞,06:05-09:25
83,北京,厦门,1781,504,北京-厦门3天2晚 | 入住厦门滨海蓝湾客栈 + 联合航空/首都航空往返机票,厦门滨海蓝湾客栈 经济型 4.9分/5分,温馨大床房 大床 不含早 1间2晚,联合航空 KN5927,直飞,16:55-19:45,首都航空 JD5376,直飞,22:15-01:15
84,南京,西宁,2068,476,南京-西宁3天2晚 | 入住西宁长昆宾馆 + 海南航空/东方航空往返机票,西宁长昆宾馆 高档型 4.1分/5分,标准间(双床) 双床 双早 1间2晚,海南航空 HU7592,经停,16:55-21:20,东方航空 MU2760,经停,12:50-17:10
85,深圳,三亚,1958,465,深圳-三亚3天2晚 | 入住三亚香格里拉度假酒店 + 海南航空/深圳航空往返机票,三亚香格里拉度假酒店 豪华型 4.6分/5分,豪华景观大床房(特惠)... 大床 双早 1间2晚,海南航空 HU7750,直飞,21:20-22:35,深圳航空 ZH9322,直飞,23:35-01:05
86,沈阳,武汉,1391,430,沈阳-武汉3天2晚 | 入住武汉友发商务酒店 + 南方航空往返机票,武汉友发商务酒店 舒适型 4.3分/5分,商务大床间 大床 不含早 1间2晚,南方航空 CZ6762,直飞,16:45-19:35,南方航空 CZ6304,直飞,23:05-01:45
87,广州,丽江,4279,1048,广州-丽江3天2晚 | 入住丽江悦榕庄 + 首都航空/东方航空往返机票,丽江悦榕庄 豪华型 4.7分/5分,豪华园景房别墅房(VI... 大/双床 双早 1间2晚,首都航空 JD5131,直飞,13:45-16:40,东方航空 MU5733,经停,21:30-01:25
